DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/28 10:00,0.0143309,0,0,0.00077145,0.06239015,0.08832755,0.304132,0.0909616,0,0.56091365
2003/9/28 10:30,0.0146228,0,0,0.0008062,0.04058105,0.08909205,0.2990724,0.06435005,0,0.50852455
2003/9/28 11:00,0.01447685,0,0,0.0007923,0.05143695,0.09751545,0.29988555,0.0705564,0,0.5346635
2003/9/28 11:30,0.01451855,0,0,0.0007923,0.055183,0.0242694,0.04051155,0.25908905,0,0.39436385
2003/9/28 12:00,0.0174445,0,0,0.0007923,0.06650455,0.1044307,0.0114675,0.0737534,0,0.27439295
2003/9/28 12:30,0.01551935,0,0,0.0007784,0.05065855,0.09896105,0.01462975,0.06118085,0,0.24172795
2003/9/28 13:00,0.01446295,0,0,0.00078535,0.04615495,0.0232964,0.00833305,0.0496925,0,0.1427252
2003/9/28 13:30,0.01449075,0,0,0.00078535,0.0688189,0.02328945,0.01086285,0.04983845,0,0.16808575
2003/9/28 14:00,0.0144838,0,0,0.0007923,0.0597839,0.02328945,0.00811065,0.0505543,0,0.1570144
2003/9/28 14:30,0.01446295,0,0,0.0007784,0.0488446,0.03047575,0.01064045,0.04833725,0,0.1535394
2003/9/28 15:00,0.01506065,0,0,0.00078535,0.07802765,0.07521985,0.01451855,0.0488307,0,0.23244275
2003/9/28 15:30,0.0146089,0,0,0.0007923,0.04423675,0.06382185,0.00786045,0.04579355,0,0.1771138
2003/9/28 16:00,0.0144421,0,0,0.00078535,0.0815652,0.0388227,0.02178825,0.049762,0,0.2071656
2003/9/28 16:30,0.0317754,0,0,0.00078535,0.0843869,0.0878341,0.03912155,0.04833725,0,0.29224055
2003/9/28 17:00,0.0875283,0,0,0.01841055,0.0816347,0.08745185,0.00759635,0.0499705,0,0.33259225
2003/9/28 17:30,0.0608542,0,0,0.4593672,0.08100225,0.0870557,0.0120652,0.11573835,0,0.8160829
2003/9/28 18:00,0.0881538,0,0,0.0441325,0.07947325,0.0855684,0.010564,0.2290998,0,0.53699175
2003/9/28 18:30,0.1441847,0,0,0.21103675,0.0723217,0.0931161,0.01870245,0.2631687,0,0.8025304
2003/9/28 19:00,0.11169345,0,0,0.0905446,0.0506655,0.09504125,0.0447997,0.1893875,0,0.582132
2003/9/28 19:30,0.22258765,0,0,0.0007923,0.0810787,0.08987045,0.0309692,0.1336346,0,0.5589329
2003/9/28 20:00,0.14904275,0,0,0.0007923,0.0784238,0.086319,0.0124961,0.16815525,0,0.4952292
2003/9/28 20:30,0.07341285,0,0,0.0292039,0.05648265,0.08760475,0.0301352,0.17949765,0,0.456337
2003/9/28 21:00,0.10856595,0,0,0.07580365,0.0705147,0.0909894,0.03143485,0.1607674,0,0.53807595
2003/9/28 21:30,0.08529735,0,0,0.00078535,0.08696535,0.0927686,0.0228655,0.1549294,0,0.44361155
2003/9/28 22:00,0.01007055,0,0,0.00077145,0.08788275,0.09124655,0.0147896,0.14787515,0,0.35263605
2003/9/28 22:30,0.00299545,0,0,0.00077145,0.08173895,0.09134385,0.01127985,0.12293855,0,0.3110681
2003/9/28 23:00,0.0030024,0,0,0.0007923,0.0793134,0.0777566,0.0126351,0.11943575,0,0.29293555
2003/9/28 23:30,0.0030163,0,0,0.00078535,0.0434792,0.0233242,0.0114675,0.0990653,0,0.18113785
2003/9/29 0:00,0.00300935,0,0,0.0007923,0.0418807,0.02335895,0.01304515,0.1261147,0,0.20820115
2003/9/29 0:30,0.0030024,0,0,0.0007784,0.0718213,0.0233242,0.0087987,0.09633395,0,0.20405895
2003/9/29 1:00,0.00300935,0,0,0.0007784,0.04997745,0.02335895,0.00887515,0.0962436,0,0.1822429
